age,monthly_income,rent,food,transport,other_expenses,total_expenses,monthly_savings,health_score
50,122124,34708,13402,10648,14522,73280,50545,80
36,58495,13867,9577,4545,4922,32911,26392,85
29,21960,5706,2716,2040,1571,12033,9804,75
42,114089,24232,16878,12138,14987,68235,48436,90
40,105398,25980,8510,7480,7558,49528,56140,100
44,149291,37521,13051,17518,15556,83646,68035,90
32,42686,9708,6157,3734,6267,25866,17903,70
32,76484,25340,11314,7134,4955,48743,25486,75
45,87383,13388,14870,8532,12590,49380,35560,85
45,128682,39432,12332,12439,8787,72990,55993,90
24,26855,4696,3802,2303,2866,13667,11129,75
43,102893,31846,10632,8232,9023,59733,44183,90
23,15338,4190,1398,824,2246,8658,5976,75
45,116262,37047,15027,5992,8993,67059,51568,90
51,53760,9112,5354,4035,4836,23337,28362,95
23,34092,8925,3634,2500,5055,20114,12588,80
42,117411,29378,13867,9056,12169,64470,51666,90
54,73377,21370,8154,4379,7356,41259,30102,85
33,38286,9834,3465,3892,2901,20092,16781,80
43,119569,30866,10855,13151,14364,69236,51354,90
46,88211,20810,9102,10206,4537,44655,41892,85
48,132909,28145,11439,11226,7303,58113,77766,100
49,53744,13245,8339,5323,5908,32815,21066,75
37,67685,11756,7748,7437,5696,32637,32709,95
36,38429,13154,4364,3046,5584,26148,9313,60
24,26918,7883,3225,1928,3777,16813,13017,65
28,35377,12045,5643,4088,4293,26069,12293,60
42,60651,11847,11188,5221,7994,36250,24815,85
30,65298,21278,11171,5537,7622,45608,17846,65
39,53429,16656,8938,3338,3342,32274,21281,75
25,19873,5672,2744,1144,2515,12075,4858,55
46,66715,18347,10891,7268,4738,41244,26399,75
35,78519,16748,11489,7301,6465,42003,35059,85
30,65732,20592,6964,4785,8671,41012,21991,75
47,69086,17292,7256,4381,7160,36089,35292,85
23,38508,6322,4450,3422,5236,19430,20154,80
41,111350,23669,21078,10118,7939,62804,48934,90
49,121425,40927,17690,7830,13451,79898,44429,80
28,27045,8658,4545,2964,1578,17745,9052,65
29,19430,6730,2362,1086,2220,12398,6741,65
35,53563,14761,6905,4013,6762,32441,19276,75
38,37967,7574,3609,3706,4119,19008,21180,80
25,19232,3511,1933,1330,1473,8247,12390,85
23,26122,4894,4683,2819,1387,13783,13192,75
27,30023,4622,4508,3056,1859,14045,18389,90
25,23007,5248,2772,2421,2582,13023,8729,75
50,126917,23896,22380,7404,18205,71885,55464,90
39,63613,14779,6970,3806,4494,30049,30901,95
47,96619,32560,19045,6768,11932,70305,23323,55
31,65262,15408,7921,5629,8917,37875,28531,85
35,42677,13895,5141,4368,4356,27760,17523,70
52,110058,29836,12924,11947,12868,67575,44923,80
36,42330,8441,4006,4203,5566,22216,17844,80
29,34426,7614,3213,3959,2618,17404,18912,80
35,67947,11332,10720,6911,5414,34377,32218,85
44,80373,17416,14870,5741,4023,42050,39551,85
42,83154,23741,14540,5700,12166,56147,27661,75
37,36430,5989,3531,3596,5164,18280,17280,80
39,69922,13360,10171,4440,8842,36813,34580,85
45,121975,27601,11303,6890,7063,52857,68514,100
47,72785,25213,6218,6350,6896,44677,29474,75
46,128928,39577,20469,13861,7760,81667,45767,80
50,78669,23340,11345,4491,4058,43234,34593,85
36,66618,11540,5985,7023,7435,31983,34551,95
22,39364,12053,3314,4204,5750,25321,15214,70
46,84624,25984,16820,7088,11871,61763,23090,55
28,31514,8515,2634,1702,3771,16622,15495,80
30,60158,20939,8021,3743,3589,36292,22532,75
45,117534,25275,16519,11696,9099,62589,56369,90
22,38510,13026,3622,3844,3158,23650,15996,70
29,27651,9206,2773,3121,3492,18592,11345,65
45,124964,19031,15272,11345,16273,61921,63012,100
32,35448,8508,6075,2080,3137,19800,15337,80
38,58861,20331,8290,3443,5402,37466,20721,75
29,26779,4569,4192,2690,1458,12909,13680,85
54,122982,31920,24377,7731,9704,73732,48766,90
26,30317,10483,5219,2212,2884,20798,9990,70
49,88392,23079,11678,7434,5453,47644,37760,85
28,22564,4241,3013,1167,2150,10571,14012,85
30,71568,19068,11039,4824,9684,44615,26923,75
29,28737,5485,4593,2257,3107,15442,16233,75
33,76851,19515,10765,5346,4449,40075,39104,85
54,86268,14217,13577,5136,5966,38896,47993,95
44,140486,38085,11635,14183,13690,77593,63576,90
45,86788,21988,11417,9279,7476,50160,37101,85
43,125749,37477,14269,8553,10798,71097,56962,90
48,111049,30665,10605,11572,11429,64271,46900,90
22,19346,5028,1778,1489,2097,10392,9418,75
35,33292,9586,5073,2845,4317,21821,9123,60
24,30775,5502,4395,3382,2588,15867,17707,80
22,28919,7781,3193,2964,3775,17713,8826,65
26,18810,3468,2567,2000,1577,9612,9988,75
47,134162,44958,18657,7993,7451,79059,53748,90
